WE HAVE TOKENIZER
loaded tokenizer
<sentencepiece.SentencePieceProcessor; proxy of <Swig Object of type 'sentencepiece::SentencePieceProcessor *' at 0x314a21d10> >
DONE
TINYSTORIES DATASET LOADED...
Iteration 408, Loss: 5.822554588317871
Iteration 409, Loss: 6.104486465454102
Iteration 410, Loss: 6.049283981323242
Iteration 411, Loss: 6.120080947875977
Iteration 412, Loss: 6.004759311676025
Iteration 413, Loss: 6.072678089141846
Iteration 414, Loss: 6.224263668060303
Iteration 415, Loss: 6.190601825714111
Iteration 416, Loss: 6.059622287750244
Iteration 417, Loss: 5.998905658721924
Iteration 418, Loss: 6.286148548126221
Iteration 419, Loss: 6.080925464630127
Iteration 420, Loss: 6.451718330383301
Iteration 421, Loss: 5.907526016235352
Iteration 422, Loss: 6.404848575592041
Iteration 423, Loss: 6.274526596069336
Iteration 424, Loss: 5.785976409912109
Iteration 425, Loss: 6.131367206573486
Iteration 426, Loss: 6.234148025512695
Iteration 427, Loss: 6.292592525482178
Iteration 428, Loss: 6.186336040496826
Iteration 429, Loss: 6.22780704498291
Iteration 430, Loss: 6.007160663604736
Iteration 431, Loss: 6.03446626663208
Iteration 432, Loss: 6.232524394989014
Iteration 433, Loss: 5.963069915771484
Iteration 434, Loss: 6.124212265014648
Iteration 435, Loss: 5.604486465454102
Iteration 436, Loss: 6.268468379974365
Iteration 437, Loss: 5.973905563354492
Iteration 438, Loss: 6.375306606292725
Iteration 439, Loss: 5.903588771820068
Iteration 440, Loss: 5.74326229095459
Iteration 441, Loss: 5.8600544929504395
Iteration 442, Loss: 6.379338264465332
Iteration 443, Loss: 6.239138126373291
Iteration 444, Loss: 6.064969062805176
Iteration 445, Loss: 5.686769962310791
Iteration 446, Loss: 5.821284770965576
Iteration 447, Loss: 5.639759540557861
Iteration 448, Loss: 6.615859508514404
Iteration 449, Loss: 6.230891704559326
Iteration 450, Loss: 6.3771138191223145
Iteration 451, Loss: 6.435977458953857
Iteration 452, Loss: 6.172239780426025
Iteration 453, Loss: 6.048484802246094
Iteration 454, Loss: 5.843616962432861
Iteration 455, Loss: 6.227569103240967
Iteration 456, Loss: 6.1184258460998535
Iteration 457, Loss: 6.376345157623291
Iteration 458, Loss: 5.901931285858154
Iteration 459, Loss: 5.893566608428955
Iteration 460, Loss: 6.1246466636657715
Iteration 461, Loss: 6.343703746795654
Iteration 462, Loss: 6.026601314544678
Iteration 463, Loss: 6.069838047027588
Iteration 464, Loss: 5.75447940826416
Iteration 465, Loss: 6.303949356079102
Iteration 466, Loss: 6.053741455078125
Iteration 467, Loss: 6.306553363800049
Iteration 468, Loss: 6.30264139175415
Iteration 469, Loss: 5.90201473236084
Iteration 470, Loss: 5.8890485763549805
Iteration 471, Loss: 6.143881320953369
Iteration 472, Loss: 6.387657165527344
Iteration 473, Loss: 6.37910795211792
Iteration 474, Loss: 6.04383659362793
Iteration 475, Loss: 6.149013042449951
Iteration 476, Loss: 6.064383506774902
Iteration 477, Loss: 6.663731575012207
Iteration 478, Loss: 5.773263931274414
Iteration 479, Loss: 6.396644115447998
Iteration 480, Loss: 6.057636737823486
Iteration 481, Loss: 6.064218997955322
Iteration 482, Loss: 5.862874507904053
Iteration 483, Loss: 5.845035552978516
Iteration 484, Loss: 5.869510173797607
Iteration 485, Loss: 5.841548919677734
Iteration 486, Loss: 6.2913899421691895
Iteration 487, Loss: 5.73350715637207
Iteration 488, Loss: 6.1574482917785645
Iteration 489, Loss: 6.041771411895752
Iteration 490, Loss: 6.018438816070557
Iteration 491, Loss: 6.403955936431885
Iteration 492, Loss: 5.915391445159912
Iteration 493, Loss: 6.375762462615967
Iteration 494, Loss: 6.171708106994629
