WE HAVE TOKENIZER
loaded tokenizer
<sentencepiece.SentencePieceProcessor; proxy of <Swig Object of type 'sentencepiece::SentencePieceProcessor *' at 0x30abfdce0> >
DONE
TINYSTORIES DATASET LOADED...
Iteration 474, Loss: 6.193581581115723
Iteration 475, Loss: 5.897100925445557
Iteration 476, Loss: 6.096949577331543
Iteration 477, Loss: 5.904870510101318
Iteration 478, Loss: 6.222543716430664
Iteration 479, Loss: 6.083180904388428
Iteration 480, Loss: 6.03585147857666
Iteration 481, Loss: 6.5710129737854
Iteration 482, Loss: 6.290317058563232
Iteration 483, Loss: 6.194844722747803
Iteration 484, Loss: 6.1244378089904785
Iteration 485, Loss: 5.768381118774414
Iteration 486, Loss: 6.154443264007568
Iteration 487, Loss: 6.279411792755127
Iteration 488, Loss: 5.720376968383789
Iteration 489, Loss: 6.180021286010742
Iteration 490, Loss: 6.3105692863464355
Iteration 491, Loss: 5.954883098602295
Iteration 492, Loss: 5.970987319946289
Iteration 493, Loss: 6.673538684844971
Iteration 494, Loss: 5.758973121643066
Iteration 495, Loss: 5.85275411605835
Iteration 496, Loss: 6.295319080352783
Iteration 497, Loss: 6.295394420623779
Iteration 498, Loss: 6.402316570281982
Iteration 499, Loss: 5.813726425170898
Iteration 500, Loss: 6.124393939971924
Iteration 501, Loss: 6.722571849822998
Iteration 502, Loss: 6.132887840270996
Iteration 503, Loss: 5.761564254760742
Iteration 504, Loss: 5.9803619384765625
Iteration 505, Loss: 6.466291904449463
Iteration 506, Loss: 6.368420600891113
Iteration 507, Loss: 5.672055721282959
Iteration 508, Loss: 6.351517200469971
Iteration 509, Loss: 6.6781744956970215
Iteration 510, Loss: 6.387111663818359
Iteration 511, Loss: 6.217716217041016
Iteration 512, Loss: 6.638206481933594
Iteration 513, Loss: 6.104866981506348
Iteration 514, Loss: 6.3467254638671875
Iteration 515, Loss: 6.099063873291016
Iteration 516, Loss: 6.1530985832214355
Iteration 517, Loss: 6.078676223754883
Iteration 518, Loss: 5.852324962615967
Iteration 519, Loss: 5.783956050872803
Iteration 520, Loss: 6.239233016967773
Iteration 521, Loss: 6.262699127197266
Iteration 522, Loss: 6.447696685791016
Iteration 523, Loss: 6.383866786956787
Iteration 524, Loss: 6.147680282592773
Iteration 525, Loss: 6.195357799530029
Iteration 526, Loss: 6.594043254852295
Iteration 527, Loss: 6.457406044006348
Iteration 528, Loss: 6.060473442077637
Iteration 529, Loss: 6.103897571563721
Iteration 530, Loss: 6.208123683929443
Iteration 531, Loss: 6.108710289001465
Iteration 532, Loss: 5.884772300720215
Iteration 533, Loss: 6.059396743774414
Iteration 534, Loss: 6.33057975769043
Iteration 535, Loss: 6.5314483642578125
Iteration 536, Loss: 6.054706573486328
Iteration 537, Loss: 5.981199741363525
Iteration 538, Loss: 6.294611930847168
Iteration 539, Loss: 6.3129425048828125
Iteration 540, Loss: 6.182750701904297
Iteration 541, Loss: 5.811254978179932
Iteration 542, Loss: 6.09357213973999
Iteration 543, Loss: 6.067864418029785
Iteration 544, Loss: 6.2184529304504395
Iteration 545, Loss: 5.865947246551514
Iteration 546, Loss: 6.288240909576416
Iteration 547, Loss: 6.209325790405273
Iteration 548, Loss: 6.336941242218018
Iteration 549, Loss: 6.081035137176514
Iteration 550, Loss: 6.043336868286133
Iteration 551, Loss: 5.959666728973389
Iteration 552, Loss: 6.6480865478515625
Iteration 553, Loss: 5.670609474182129
Iteration 554, Loss: 6.21104097366333
Iteration 555, Loss: 6.171406269073486
Iteration 556, Loss: 6.570392608642578
Iteration 557, Loss: 6.205719947814941
Iteration 558, Loss: 6.266775608062744
Iteration 559, Loss: 6.282715320587158
Iteration 560, Loss: 6.159172534942627
Iteration 561, Loss: 6.147868633270264
Iteration 562, Loss: 6.231367111206055
Iteration 563, Loss: 6.020393371582031
Iteration 564, Loss: 5.925079345703125
Iteration 565, Loss: 6.01878547668457
Iteration 566, Loss: 6.237805366516113
Iteration 567, Loss: 6.009679317474365
Iteration 568, Loss: 6.1154465675354
Iteration 569, Loss: 6.161846160888672
Iteration 570, Loss: 6.1835618019104
Iteration 571, Loss: 5.6516571044921875
Iteration 572, Loss: 5.891662120819092
